objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,N/A,N/A,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Art-1,https://github.com/WilliamLMorrison/ewing-2026/blob/main/ewing5.jpg?raw=true,N/A,N/A,School (Food Series),Matt Bodett,2025,"Art on canvas made with ""trace monotype, pastel, acrylic medium, and oil""",Universities;Picture;Art,"Knoxville, Tennessee",35.9554,-83.9276,University of Tennessee Ewing Gallery of Art + Architecture,,Stillimage,Image/jpg,eng,Matt Bodett,https://ewing-gallery.utk.edu/
Art-2,https://github.com/WilliamLMorrison/ewing-2026/blob/main/ewing4.jpg?raw=true,N/A,N/A,Zora: How I Understand,Riva Lehrer,2009,"Art on canvas made with ""pastel, colored pencil, and collage on Mylar""",Universities;Picture;Art,"Knoxville, Tennessee",35.9554,-83.9276,University of Tennessee Ewing Gallery of Art + Architecture,,Stillimage,Image/jpg,eng,Riva Lehrer,https://ewing-gallery.utk.edu/
Art-3,https://github.com/WilliamLMorrison/ewing-2026/blob/main/ewing3.jpg?raw=true,N/A,N/A,Spinal Cord (cauda equina) with nerve,Laura Ferguson,2011,"Art on canvas made with ""charcoal on paper""",Universities;Picture;Art,"Knoxville, Tennessee",35.9554,-83.9276,University of Tennessee Ewing Gallery of Art + Architecture,,Stillimage,Image/jpg,eng,Laura Ferguson,https://ewing-gallery.utk.edu/
Art-4,https://github.com/WilliamLMorrison/ewing-2026/blob/main/ewing2.jpg?raw=true,N/A,N/A,Carousel,Elizabeth Jameson,2010,"Art on canvas depicting ""digital collage of etching artworks of artist's brain in MRIs""",Universities;Picture;Art,"Knoxville, Tennessee",35.9554,-83.9276,University of Tennessee Ewing Gallery of Art + Architecture,,Stillimage,Image/jpeg,eng,Elizabeth James,https://ewing-gallery.utk.edu/
Art-5,https://github.com/WilliamLMorrison/ewing-2026/blob/main/Ewing1.jpg?raw=true,N/A,N/A,Crouching figure with visible skeleton,Laura Ferguson,2000,"Art on canvas made with ""archival inkjet print""",Universities;Picture;Art,"Knoxville, Tennessee",35.9554,-83.9276,University of Tennessee Ewing Gallery of Art + Architecture,,Stillimage,Image/jpeg,eng,Laura Ferguson,https://ewing-gallery.utk.edu/
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
